,beds_genandacute_noncovid,ventbeds_noncovid,address,Date,Local Health Board,coordinates,lat,lon
980,884,14,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",20-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
981,894,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",21-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
982,912,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",22-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
983,904,17,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",23-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
984,893,20,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",24-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
985,884,18,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",25-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
986,895,19,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",26-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
987,943,18,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",27-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
988,924,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",28-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
989,965,15,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",29-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
990,937,16,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",30-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
991,906,17,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",01-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
992,884,15,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",02-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
993,891,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",03-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
994,827,10,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",04-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
995,925,14,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",05-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
996,944,14,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",06-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
997,961,11,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",07-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
998,954,15,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",08-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
999,931,14,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",09-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1000,1109,14,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",10-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1001,1115,15,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",11-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1002,1141,15,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",12-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1003,1149,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",13-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1004,1145,18,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",14-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1005,1174,15,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",15-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1006,1154,17,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",16-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1007,1175,14,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",17-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1008,1187,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",18-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1009,1180,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",19-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1010,1197,14,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",20-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1011,1196,11,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",21-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1012,1169,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",22-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1013,1168,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",23-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1014,1136,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",24-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1015,1135,17,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",25-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1016,1166,10,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",26-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1017,1187,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",27-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1018,1170,16,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",28-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1019,1153,17,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",29-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1020,1142,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",30-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1021,1162,15,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",31-Jul-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
1022,1156,15,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",01-Aug-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
